"Date","Close","Volume"
"2024-11-30T20:01:00.000Z","",""
"2024-11-30T20:02:00.000Z","97,056.95","0"
"2024-11-30T20:03:00.000Z","97,059.00","0"
"2024-11-30T20:04:00.000Z","97,035.78","0"
"2024-11-30T20:05:00.000Z","97,036.55","0"
"2024-11-30T20:06:00.000Z","97,033.03","0"
"2024-11-30T20:07:00.000Z","97,035.75","350,208.00"
"2024-11-30T20:08:00.000Z","97,040.77","0"
"2024-11-30T20:09:00.000Z","97,027.45","0"
"2024-11-30T20:10:00.000Z","97,020.39","0"
"2024-11-30T20:11:00.000Z","97,027.90","0"
"2024-11-30T20:12:00.000Z","97,036.11","0"
"2024-11-30T20:13:00.000Z","",""
"2024-11-30T20:14:00.000Z","97,093.19","0"
"2024-11-30T20:15:00.000Z","97,095.97","0"
"2024-11-30T20:16:00.000Z","97,084.46","0"
"2024-11-30T20:17:00.000Z","",""
"2024-11-30T20:18:00.000Z","97,040.32","0"
"2024-11-30T20:19:00.000Z","97,044.38","0"
"2024-11-30T20:20:00.000Z","97,051.95","0"
"2024-11-30T20:21:00.000Z","97,044.85","0"
"2024-11-30T20:22:00.000Z","97,055.37","0"
"2024-11-30T20:23:00.000Z","97,038.63","0"
"2024-11-30T20:24:00.000Z","97,029.97","0"
"2024-11-30T20:25:00.000Z","",""
"2024-11-30T20:26:00.000Z","97,031.57","0"
"2024-11-30T20:27:00.000Z","97,036.48","0"
"2024-11-30T20:28:00.000Z","97,018.40","0"
"2024-11-30T20:29:00.000Z","",""
"2024-11-30T20:30:00.000Z","96,990.64","0"
"2024-11-30T20:31:00.000Z","96,993.90","0"
"2024-11-30T20:32:00.000Z","96,994.72","0"
"2024-11-30T20:33:00.000Z","96,989.50","0"
"2024-11-30T20:34:00.000Z","96,970.39","0"
"2024-11-30T20:35:00.000Z","",""
"2024-11-30T20:36:00.000Z","96,957.93","0"
"2024-11-30T20:37:00.000Z","",""
"2024-11-30T20:38:00.000Z","96,956.72","0"
"2024-11-30T20:39:00.000Z","96,962.99","0"
"2024-11-30T20:40:00.000Z","96,951.41","0"
"2024-11-30T20:41:00.000Z","96,967.68","0"
"2024-11-30T20:42:00.000Z","96,940.66","0"
"2024-11-30T20:43:00.000Z","96,912.09","0"
"2024-11-30T20:44:00.000Z","",""
"2024-11-30T20:45:00.000Z","96,912.64","0"
"2024-11-30T20:46:00.000Z","96,906.80","0"
"2024-11-30T20:47:00.000Z","",""
"2024-11-30T20:48:00.000Z","96,923.41","0"
"2024-11-30T20:49:00.000Z","",""
"2024-11-30T20:50:00.000Z","96,962.40","0"
"2024-11-30T20:51:00.000Z","96,972.82","0"
"2024-11-30T20:52:00.000Z","96,981.52","0"
"2024-11-30T20:53:00.000Z","96,992.20","0"
"2024-11-30T20:54:00.000Z","96,989.27","4,470,784.00"
"2024-11-30T20:55:00.000Z","96,996.61","0"
"2024-11-30T20:56:00.000Z","96,985.19","0"
"2024-11-30T20:57:00.000Z","96,996.84","0"
"2024-11-30T20:58:00.000Z","",""
"2024-11-30T20:59:00.000Z","97,020.59","0"
"2024-11-30T21:00:00.000Z","97,014.53","0"
"2024-11-30T21:01:00.000Z","",""
"2024-11-30T21:02:00.000Z","",""
"2024-11-30T21:03:00.000Z","97,007.88","0"
"2024-11-30T21:04:00.000Z","",""
"2024-11-30T21:05:00.000Z","96,985.15","0"
"2024-11-30T21:06:00.000Z","96,999.16","0"
"2024-11-30T21:07:00.000Z","96,974.68","0"
"2024-11-30T21:08:00.000Z","96,983.07","0"
"2024-11-30T21:09:00.000Z","96,960.95","0"
"2024-11-30T21:10:00.000Z","96,915.79","0"
"2024-11-30T21:11:00.000Z","",""
"2024-11-30T21:12:00.000Z","96,904.55","0"
"2024-11-30T21:13:00.000Z","",""
"2024-11-30T21:14:00.000Z","96,922.71","0"
"2024-11-30T21:15:00.000Z","96,925.54","1,542,144.00"
"2024-11-30T21:16:00.000Z","96,920.13","995,328.00"
"2024-11-30T21:17:00.000Z","",""
"2024-11-30T21:18:00.000Z","96,901.59","0"
"2024-11-30T21:19:00.000Z","96,907.99","1,562,624.00"
"2024-11-30T21:20:00.000Z","",""
"2024-11-30T21:21:00.000Z","96,922.59","0"
"2024-11-30T21:22:00.000Z","96,924.66","0"
"2024-11-30T21:23:00.000Z","",""
"2024-11-30T21:24:00.000Z","96,908.28","0"
"2024-11-30T21:25:00.000Z","",""
"2024-11-30T21:26:00.000Z","96,907.54","0"
"2024-11-30T21:27:00.000Z","96,906.86","0"
"2024-11-30T21:28:00.000Z","96,871.38","286,720.00"
"2024-11-30T21:29:00.000Z","96,856.68","0"
"2024-11-30T21:30:00.000Z","96,865.55","0"
"2024-11-30T21:31:00.000Z","96,867.06","251,904.00"
"2024-11-30T21:32:00.000Z","96,863.24","0"
"2024-11-30T21:33:00.000Z","96,865.52","0"
"2024-11-30T21:34:00.000Z","96,863.72","0"
